id,customer_message,fin_response,resolved,csat_score,reopened,follow_up_within_7_days
conv_001,"My subscription renewed but I wanted to cancel it before the renewal date. Can I get a refund?","Our cancellation policy allows cancellations before the renewal date. For refund requests, please contact our billing team directly. Is there anything else I can help with?",true,,true,true
conv_002,"How do I connect your API to my Salesforce instance using OAuth 2.0? I keep getting a 401 error on the token exchange step.","I'm sorry, I don't have specific information about Salesforce OAuth integration. I recommend checking our developer documentation or contacting our technical support team.",false,2,,true
conv_003,"What's your GDPR data retention policy for EU customers? We're doing a compliance audit and need the exact retention periods for each data category.","For EU customers, we retain personal data for the duration of the contract plus 30 days for account data, 12 months for usage logs, and 7 years for billing records as required by law. You can request a full data map via privacy@company.com.",true,5,,false
conv_004,"Can you process a partial refund of £45 for the unused portion of my annual plan? I downgraded last week.","I understand you'd like a partial refund. Unfortunately, I'm not able to process refunds directly, but I can escalate this to our billing team who can review your account and apply the appropriate credit within 3-5 business days.",false,3,,true
conv_005,"What integrations do you support with project management tools? Specifically Jira, Asana, and Monday.com?","We currently support native integrations with Jira and Asana. Monday.com integration is available via our Zapier connector. You can find setup guides in our integrations documentation under Settings > Integrations.",true,4,,false
conv_006,"I think my account was accessed without my permission. There were logins from an IP I don't recognise in Germany.","For security concerns, I recommend immediately changing your password and enabling two-factor authentication in your account settings. If you believe your account has been compromised, please email security@company.com urgently and we'll investigate.",true,5,,false
conv_007,"Can you automatically create a Jira ticket whenever a high-priority support conversation is escalated in Intercom?","Creating Jira tickets automatically based on conversation events would require a workflow automation setup. I can guide you through setting up a webhook, but configuring the Jira side would need to be done in your Jira instance.",false,2,,true
conv_008,"How much does it cost to add 5 more seats to our Business plan?","Additional seats on the Business plan are priced at £45 per seat per month when billed annually. For 5 seats, that would be £225 per month or £2,700 annually. Would you like me to initiate an upgrade request?",true,5,,false
conv_009,"Your Fin AI agent gave my customer completely wrong information about our return policy. It said we offer 60-day returns but we only do 30 days. How is this happening?","I understand your concern about incorrect information being provided. Fin uses the knowledge base content you've configured. If it stated 60 days, there may be conflicting information in your help articles or custom instructions. I recommend reviewing your knowledge base for any outdated content.",false,1,,true
conv_010,"I need to export all conversation data from the last 6 months in a format I can import into our data warehouse. What formats do you support?","You can export conversation data via our Reports section. We support CSV and JSON exports. For large data sets over 6 months, you may need to split the export into multiple date ranges. The export includes conversation transcripts, metadata, and CSAT scores.",true,4,,false
conv_011,"Our enterprise SSO with Okta stopped working this morning. We're getting SAML assertion errors. This is blocking all 200 of our agents.","SAML assertion errors can occur due to certificate expiry, clock drift, or attribute mapping issues. I can provide general SAML troubleshooting steps, but for enterprise SSO configuration issues affecting your entire team, I recommend contacting your dedicated Customer Success Manager immediately.",false,1,,true
conv_012,"Can you send a proactive message to all customers who haven't logged in for 30 days with a re-engagement offer?","Sending proactive outbound messages to a segment of users based on inactivity would be done through our Outbound Messages feature. You can create a user segment based on last_seen date and trigger a message campaign. Would you like guidance on setting up the segment?",true,4,,false
conv_013,"What's the difference between your Starter, Growth, and Enterprise plans in terms of AI conversation limits?","The Starter plan includes 500 AI-resolved conversations per month, the Growth plan includes 2,000, and the Enterprise plan has custom limits negotiated based on your volume. Overage on Starter and Growth is charged at £0.99 per additional resolved conversation.",true,5,,false
conv_014,"I need to set up different escalation rules for our US team (9-5 EST) and our UK team (9-5 GMT). How do I configure timezone-aware routing?","Timezone-based routing can be configured in your Inbox settings under Teams and Hours. You can create separate team schedules for US and UK teams and set up routing rules that direct conversations based on the current time in each timezone.",true,4,,false
conv_015,"Can Fin read my customer's order history from Shopify to answer questions like 'where is my order' without me having to build a custom integration?","Fin can connect to Shopify via our native integration to access order data. Once connected, Fin can answer order status questions using real-time data from your Shopify store. Setup takes approximately 30 minutes and requires Shopify admin access.",false,2,,true
conv_016,"We need Fin to automatically apply a 10% discount code to any customer who has been waiting more than 48 hours for a response. Can it do that?","Fin doesn't currently have the ability to automatically apply discount codes or take actions in your e-commerce platform based on wait time triggers. This would require a custom workflow integration using our API, which your development team could implement.",false,3,,true
conv_017,"What are your uptime SLAs for enterprise customers and how do we get compensated if you miss them?","Our Enterprise SLA guarantees 99.9% uptime. In the event of downtime exceeding this threshold in any calendar month, Enterprise customers are eligible for service credits of 10% of monthly fees for each additional hour of downtime, up to 30% of monthly fees.",true,5,,false
conv_018,"I'm getting a rate limit error on your API: 429 Too Many Requests. We're only making about 100 calls per minute.","The API rate limit for your current plan is 100 requests per minute. If you're consistently hitting this limit, I recommend implementing exponential backoff in your integration. If your volume genuinely requires higher limits, you can request a limit increase through your account settings.",true,4,,false
conv_019,"Can you tell me if there are any known issues with the webhook endpoint today? We stopped receiving events about 2 hours ago.","I don't have access to real-time system status information. Please check our status page at status.company.com for any active incidents. If webhooks stopped 2 hours ago and there are no listed incidents, I recommend checking your endpoint logs and verifying your webhook secret.",false,2,,false
conv_020,"How do I migrate our knowledge base from Zendesk to Intercom? We have about 400 articles.","You can import help articles from Zendesk using our migration tool in Settings > Help Center > Import. The tool supports direct Zendesk imports via API. For 400 articles, the migration typically takes 15-30 minutes. I recommend reviewing article formatting after import as some rich text elements may need adjustment.",true,4,,false
